INFO  2019-06-22 21:42:59,716 _internal.py         _log                      87     * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
DEBUG 2019-06-22 21:43:10,673 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:11,661 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 75551
INFO  2019-06-22 21:43:11,801 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:11,801 Coordinates.py       get_coordinates           65    chunk_size: 200
INFO  2019-06-22 21:43:11,817 _internal.py         _log                      87    127.0.0.1 - - [22/Jun/2019 21:43:11] "GET /data HTTP/1.1" 200 -
DEBUG 2019-06-22 21:43:15,195 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:15,861 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 75551
INFO  2019-06-22 21:43:15,958 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:15,958 Coordinates.py       get_coordinates           65    chunk_size: 200
INFO  2019-06-22 21:43:15,981 _internal.py         _log                      87    127.0.0.1 - - [22/Jun/2019 21:43:15] "GET / HTTP/1.1" 200 -
DEBUG 2019-06-22 21:43:35,676 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:36,343 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 75551
INFO  2019-06-22 21:43:36,483 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:36,483 Coordinates.py       get_coordinates           65    chunk_size: 200
DEBUG 2019-06-22 21:43:36,492 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:36,684 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 766
INFO  2019-06-22 21:43:36,688 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:36,688 Coordinates.py       get_coordinates           65    chunk_size: 200
INFO  2019-06-22 21:43:36,717 _internal.py         _log                      87    127.0.0.1 - - [22/Jun/2019 21:43:36] "POST /radius HTTP/1.1" 200 -
DEBUG 2019-06-22 21:43:37,407 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:38,013 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 75551
INFO  2019-06-22 21:43:38,150 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:38,150 Coordinates.py       get_coordinates           65    chunk_size: 200
DEBUG 2019-06-22 21:43:38,158 connectionpool.py    _new_conn                 818   Starting new HTTPS connection (1): api.postcodes.io
DEBUG 2019-06-22 21:43:38,346 connectionpool.py    _make_request             395   https://api.postcodes.io:443 "POST /postcodes HTTP/1.1" 200 766
INFO  2019-06-22 21:43:38,350 Coordinates.py       get_coordinates           63    Request made successfully
INFO  2019-06-22 21:43:38,350 Coordinates.py       get_coordinates           65    chunk_size: 200
